Defect ID,Title,Module,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Status,Reproducible,Environment
DEF_001,Duplicate invoice submission accepted,Invoice Upload,"1. Login as vendor; 2. Submit invoice with number INV-100; 3. Submit again with same number INV-100",System rejects duplicate submission with appropriate error,Duplicate accepted as new record; AP queue shows two identical entries,High,High,Open,Always,QA env build 1.4.0
DEF_002,Rejected invoice still moves to payment,Invoice Processing,"1. Login as AP; 2. Reject submitted invoice with reason; 3. Trigger payment scheduler",Rejected invoice is excluded from payment queue,Rejected invoice appears in payment queue and is paid out,Critical,Critical,Open,Always,QA env build 1.4.0
DEF_003,Cross-vendor invoice access,Authorization,"1. Login as Vendor A; 2. Capture URL to own invoice; 3. Replace id with Vendor B's invoice id",403 or 404 with no data leak,Vendor B's invoice details are returned to Vendor A,High,Critical,Open,Always,QA env build 1.4.0
DEF_004,Email not sent on rejection,Notifications,"1. AP rejects invoice with reason; 2. Wait 5 minutes; 3. Check vendor mailbox",Vendor receives rejection email with reason within SLA,No email is delivered; no entry in mail-out log,Medium,High,Open,Always,QA env build 1.4.0
DEF_005,Invoice amount accepts negative values,Invoice Upload,"1. Vendor submits invoice with amount=-500",Validation rejects negative amount,Invoice is created with negative amount and shown in AP queue,Medium,Medium,Open,Always,QA env build 1.4.0
DEF_006,Session not invalidated on logout,Authentication,"1. Login; 2. Capture session token; 3. Logout; 4. Replay token via API",Server returns 401 for replayed token,Token still authorizes API calls,High,High,Open,Always,QA env build 1.4.0
DEF_007,Monthly report total differs from DB,Reporting,"1. Generate April 2026 report; 2. Compare APPROVED count with SELECT count(*) FROM invoices WHERE status='APPROVED' AND month='2026-04'",Counts match exactly,Report shows 142; DB shows 138 (4 soft-deleted rows incorrectly included),Medium,High,Open,Always,QA env build 1.4.0
DEF_008,Concurrent approval creates inconsistent state,Invoice Processing,"1. Open same invoice as two AP users; 2. AP-1 approves; 3. AP-2 rejects within 1 second",Second action is rejected with conflict; status reflects first action only,Both actions succeed; status flips to last write; audit log shows both,High,High,Open,Sometimes,QA env build 1.4.0
DEF_009,File upload accepts .exe disguised as .pdf,Security,"1. Rename test.exe to test.pdf; 2. Upload as invoice attachment",Server detects mime-type mismatch and rejects,File is accepted and stored,High,High,Open,Always,QA env build 1.4.0
DEF_010,Password reset link does not expire,Security,"1. Request reset link; 2. Wait 48 hours; 3. Use link",Link is single-use and expires within configured TTL (e.g. 30 min),Link still works after 48 hours and can be reused multiple times,High,High,Open,Always,QA env build 1.4.0
